time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-2.1834698515651857e-07,4.47012669146933e-05,10.003860691501766,0.010626668334351663,9.216765668451643e-05,0.0,-1.4589980751673723e-05,0.0026585325510551277,0.12867884780882377,-0.03693011652732505,0.0023355959147638595,0.0,446.12268437025665,446.3132971046914,447.10656667367897,444.0881679259904
0.12000000000000001,-4.744758240120538e-06,0.00043663142605412757,10.016671452550861,0.008417689438262599,0.0003733929666349667,0.0,-0.00017403651940984426,0.01015702452571459,0.29831922294237095,-0.036627033886137125,-0.0031504274436006652,0.0,458.382258014864,457.9461531423629,458.8372595744084,458.8607358377397
0.18,-2.652843741273659e-05,0.0012160099087899483,10.036158457813794,0.010273525619439283,0.0013313600084874366,0.0,-0.0006554695234641172,0.01602074998555678,0.3512304829061593,-0.05991473171582743,-0.01614358892539021,0.0,423.21151410152083,422.0919641716179,421.9713992892235,419.9553144239377
0.23999999999999996,-8.931428476920795e-05,0.002344106396219703,10.056939161844163,0.006666833987695853,0.001250716875114577,0.0,-0.001440431585759585,0.021274064467937535,0.3414655238143641,-0.060960369875497494,-0.027735816033400546,0.0,400.2267753038058,399.1704497728809,401.76119748309844,401.6633986620436
0.3,-0.00019554440147387107,0.003737832807338421,10.07877589621208,0.004160172417475572,6.283176073078652,0.0,-0.0019900711495795687,0.02493816312587256,0.386412631759842,-0.05034732328554041,-0.03600307739324167,0.0,419.2707787075821,418.5516342943584,419.0413131632475,419.9602338461178
0.36000000000000004,-0.00031950937463907675,0.005313056392914266,10.105945350272332,0.0013024004791271082,0.0008525557326954925,0.0,-0.0022559623562343266,0.027269873284282112,0.5191852200442975,-0.05613115888008507,-0.056284122344742865,0.0,448.75032492470007,447.10024342975146,447.0233199273932,446.55007419722585
0.4200000000000001,-0.00046953714579097924,0.006963604127264075,10.140632490875003,6.2811159636240905,0.00025881537907146424,0.0,-0.002664968695279155,0.027395707246310772,0.6369941342879853,-0.05634363753440702,-0.03916945643339223,0.0,443.0082694526322,444.4114494618128,441.92689955211796,441.90721811578203
0.48000000000000015,-0.000679745957837797,0.008555963873033716,10.184040452059477,6.280420451827137,0.01137681285554315,0.0,-0.005551898602684244,0.02558591580767062,0.8098261876586726,-0.039553553155710915,-0.00014992011267924744,0.0,458.1105885239786,461.20212253989536,459.42419825265307,460.751772380393
0.5400000000000001,-0.001244191977202926,0.010034117902144755,10.234729768217413,6.27954465783035,0.012925866980257439,0.0,-0.013428031237715906,0.02361497238173625,0.8797638438289404,-0.05421228551430993,-0.015075985262060037,0.0,428.67306434488074,427.4030686251614,428.4948387110044,427.2458015076921
0.6000000000000002,-0.002356630150286171,0.011403756700690559,10.29389958988522,0.004784986061018515,0.012013792392551181,0.0,-0.02354328637835392,0.02308664926260485,1.0923864433887545,-0.0928672650543644,-0.015542382924952356,0.0,472.01668939655207,471.9808157385346,473.6953462895806,470.7106103818303
0.6600000000000003,-0.004049102551912641,0.012879625559673428,10.36442544609901,0.0007724780239666273,0.013589659414233068,0.0,-0.033067336492953854,0.0256459092423444,1.2583064193277114,-0.08033521036684453,-0.03413353446959165,0.0,459.3705082476601,457.8940585960652,457.98514119567136,458.9744152400297
0.7200000000000003,-0.006317742051427244,0.014428223376211424,10.443735723502268,6.2819505356266365,0.01168899866435602,0.0,-0.042356611777029436,0.025782221432975726,1.3852266212678552,-0.09994729459142544,-0.03970665597880524,0.0,446.9084335326105,446.45341852847355,448.03055567197373,446.42709459667503
